sku,product_name,tax_rate,unit_price,unit_per_price,stock,brand_name,pack_size,unit_weight,product_description,image_file_name,category_1,category_2
173120400172312,"EMRE VODKA ORIGINAL",0.00,94.29,15.79,1000.00,"EMRE ",6x70cl,0.00,,17312040017680.webp,"Spirits & Liqueurs",
1731204004074444,"EMRE VODKA RASPBERRY",0.00,98.89,16.49,1000.00,"EMRE ",6x70cl,0.00,,17312040040701.jpg,"Spirits & Liqueurs",
26412709021333,"EMRE VODKA ",0.00,91.99,15.39,1000.00,"EMRE ",6x70cl,0.00,,26412709021770.jpg,Wine,
